Video,Video title,Video publish date,Comments,Shares,DisLikes,Likes,Subscribers lost,Subscribers gained,RPM (USD),CPM (USD),Average Percentage viewed(%),Average view Duration,Views,Subscribers,Your Estmated Revenue (USD),Impressions,Impressionss click-through rate (%),Watch time,Publish Month,Publish Day,Publish Weekday,Is Weekend,Likes per View,Dislikes per View,Comments per View,Shares per View,Subscribers per View,Average view Duration (sec),Watch time (sec),Performance
SLC5sPZSLY4,How YOU Can Land a Sports Analytics Job,2019-12-02,106,420,17,2323,16,1860,4.247,8.588,37.9,0 days 00:03:03,50498,1844,214.234,561044,6.12,107 days 05:17:00.599999999,12,2,Monday,False,0.04600091090912691,0.0003366403295114755,0.0020990514663656707,0.008316996376165864,0.03651557456583299,183.0,9263820.6,High
m5pwx3hgtzM,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,101,197,93,2783,45,1180,4.79,9.253,46.02,0 days 00:02:51,93329,1135,446.851,1316053,5.41,185 days 09:58:18.840000,12,16,Monday,False,0.02981892210436087,0.0009964641594342656,0.0010821815064823745,0.0021107896710596805,0.012161148612450445,171.0,16019898.84,High
n3vw0M5RrPU,How I Learned Data Science,2020-01-27,101,482,253,2514,51,2090,8.027,13.707,25.84,0 days 00:03:28,87169,2039,699.558,5447045,1.14,210 days 03:09:05.760000,1,27,Monday,False,0.028840197315590226,0.0029023746701846965,0.0011586555007456693,0.005529425260984284,0.023391074911093265,208.0,18155345.76,High
zSwM5uVeylU,Math Needed for Mastering Data Science,2019-12-09,98,274,15,2529,16,889,4.539,10.363,49.15,0 days 00:02:23,48401,873,219.501,523606,5.8,80 days 02:46:04.440000,12,9,Monday,False,0.05224990702863518,0.00030990454939878515,0.00202470972273873,0.005660923102351142,0.0180364447750093,143.0,6921964.44,High
qV_AlRwhI3I,What is the #66DaysOfData?,2020-12-26,96,541,13,1827,33,2395,4.335,12.805,29.91,0 days 00:02:20,52921,2362,228.911,338516,3.44,86 days 06:52:49.080000,12,26,Saturday,True,0.034522504818412,0.00024564453346434377,0.0018139904009674616,0.010222591738785381,0.04463172215713692,140.0,7455169.08,High
1aXk2RViq3c,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,93,584,32,2778,9,1234,5.684,14.666,23.81,0 days 00:03:17,69141,1225,392.228,1043886,3.95,157 days 23:35:49.559999999,5,15,Friday,False,0.040178184027074716,0.00046281565473952154,0.0013450579965867346,0.008446385698996268,0.01771716178299731,197.0,13649749.56,High
QWgg4w1SpJ8,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,85,302,7,1408,6,573,4.43,12.003,13.16,0 days 00:09:01,47193,567,208.805,716168,3.91,296 days 00:31:34.320000,4,10,Friday,False,0.029834300970462347,0.0001483239394838327,0.0018010764080179683,0.006399118532016782,0.012014239098190448,541.0,25576294.32,High
BZFfNwj7JhE,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,82,465,100,1589,9,863,6.147,12.346,34.82,0 days 00:01:41,44974,854,276.316,2927350,0.85,52 days 17:58:23.160000,5,22,Friday,False,0.03533073929961089,0.0022234574763757642,0.0018232351306281267,0.010339077265147304,0.018988326848249026,101.0,4557503.16,High
MpF9HENQjDo,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,82,744,21,3197,22,3184,4.334,11.954,30.37,0 days 00:02:16,102854,3162,445.187,778177,5.35,161 days 23:25:23.880000,4,3,Friday,False,0.031082591998444414,0.00020417092022750473,0.0007972388313645423,0.0072334840309173105,0.03074230713139857,136.0,13994723.88,High
XjC3FPL-S78,Why You're Struggling to Learn Data Science,2020-06-12,82,60,9,1000,28,256,3.125,7.179,46.21,0 days 00:02:53,14552,228,45.465,252084,3.45,29 days 04:30:31.320000,6,12,Friday,False,0.06871435442864014,0.0006184291898577613,0.005634577063148492,0.0041228612657184084,0.01566687280972995,173.0,2521831.32,High
a3VWq9smqhM,How to ULTRALEARN Data Science,2020-03-27,79,230,25,3530,19,2136,4.58,12.682,40.98,0 days 00:03:08,55316,2117,253.249,498384,3.3,120 days 10:00:19.440000,3,27,Friday,False,0.06381401739067556,0.0004519406330784388,0.0014281324005278667,0.004157853824321637,0.0382703328090822,188.0,10404019.44,High
domVw8isGOI,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,79,55,8,527,14,184,6.283,14.776,43.15,0 days 00:03:24,18633,170,116.91,315342,3.4,44 days 02:37:59.880000,10,30,Friday,False,0.028281635719652247,0.00042932274337233016,0.00423956209080176,0.0029515938606847697,0.009123108296662016,204.0,3811079.88,High
 pdXWmj9xxU,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,78,80,3,691,10,109,5.07,10.472,31.24,0 days 00:04:30,10588,99,53.677,185980,3.09,33 days 03:44:43.080000,9,4,Friday,False,0.06525639814902257,0.0002833128718481443,0.007366134668051752,0.007555009915950515,0.009349324770988762,270.0,2864683.08,High
